"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Togo","Africa","0 - Unreliable",23.7,"0 - 0 NGS facilities or equivalent",347,12.99,"1 - Test"
"Tonga","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Trinidad and Tobago","Americas","1 - Reliable",140.75,"0 - 0 NGS facilities or equivalent",610,96.46,"0 - High Income*"
"Tunisia","Eastern Mediterranean","1 - Reliable",145.21,"1 - 1-3 NGS facilities or equivalent",132,137.11,"3 - Leverage"
"Turkey","Europe","1 - Reliable",351.37,"2 - 4+ NGS facilities or equivalent",60763,204.32,"4 - Strengthen"
"Turkmenistan","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Turks and Caicos Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",16,149.8,"0 - High Income*"
"Tuvalu","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"U.S. Virgin Islands","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",365,187.69,"0 - High Income*"
"Uganda","Africa","1 - Reliable",15.87,"1 - 1-3 NGS facilities or equivalent",629,0,"4 - Strengthen"
"Ukraine","Europe","1 - Reliable",105.37,"1 - 1-3 NGS facilities or equivalent",250,56.25,"3 - Leverage"
"United Arab Emirates","Eastern Mediterranean","1 - Reliable",3060.91,"2 - 4+ NGS facilities or equivalent",1877,47.7,"0 - High Income*"
"United Kingdom","Europe","1 - Reliable",1750.07,"2 - 4+ NGS facilities or equivalent",867082,321.26,"0 - High Income*"
"United Nations Buffer Zone in Cyprus","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States of America","Americas","1 - Reliable",598.08,"2 - 4+ NGS facilities or equivalent",993365,321.27,"0 - High Income*"
"Uruguay","Americas","0 - Unreliable",546.23,"2 - 4+ NGS facilities or equivalent",740,31.72,"0 - High Income*"
"Uzbekistan","Europe","1 - Reliable",45.89,"0 - 0 NGS facilities or equivalent",90,12.62,"2 - Connect"
"Vanuatu","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Vatican City","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Venezuela","Americas","1 - Reliable",61.32,"1 - 1-3 NGS facilities or equivalent",171,26.67,"3 - Leverage"
"Vietnam","Western Pacific","1 - Reliable",13.21,"1 - 1-3 NGS facilities or equivalent",361,84.21,"3 - Leverage"
"Wallis and Futuna","",NaN,NaN,"0 - 0 NGS facilities or equivalent",10,0,"1 - Test"
"West Bank and Gaza","Eastern Mediterranean","0 - Unreliable",242.23,"0 - 0 NGS facilities or equivalent",132,261.34,"2 - Connect"
"Western Sahara","",NaN,9.15,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Western Sahara - Morocco Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Yemen","Eastern Mediterranean","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,1.16,"2 - Connect"
"Zambia","Africa","1 - Reliable",55.74,"1 - 1-3 NGS facilities or equivalent",692,3.91,"4 - Strengthen"
"Zimbabwe","Africa","1 - Reliable",77.95,"0 - 0 NGS facilities or equivalent",659,7.75,"3 - Leverage"
